Spatial Distribution,Processor Utilization,Channel Utilization,Input Waiting Time,Channel Waiting Time
UN,0.839546,0.352431,308.491814,1.974686
UN,0.827412,0.506302,291.037663,9.556437
UN,0.802605,0.638516,264.928002,27.027618
UN,0.723403,0.767051,235.776888,61.848511
UN,0.72121,0.807812,189.680044,121.085884
UN,0.647035,0.841771,145.988097,205.881088
UN,0.567402,0.85033,118.323674,284.999115
UN,0.511627,0.865625,92.003542,368.157288
UN,0.47056,0.888828,80.43286,431.169037
UN,0.421877,0.882552,68.518468,505.119598
UN,0.901173,0.370026,495.533336,2.153823
UN,0.897863,0.53691,469.872618,11.002777
UN,0.871957,0.65737,447.158333,31.924433
UN,0.853846,0.772778,395.848075,84.117371
UN,0.796428,0.852561,311.877373,194.432526
UN,0.731779,0.910729,217.600589,341.365112
UN,0.640211,0.916259,157.213968,495.164948
UN,0.568923,0.924583,121.870069,626.139282
UN,0.514046,0.931484,101.696076,741.330261
UN,0.463145,0.931076,86.442861,851.930115
UN,0.923706,0.346441,688.57719,2.222387
UN,0.922138,0.518889,664.122822,11.448802
UN,0.928869,0.683047,622.974259,36.851643
UN,0.911611,0.809028,559.575905,97.074905
UN,0.850776,0.888976,438.777004,260.288574
UN,0.768916,0.933802,281.908378,498.907104
UN,0.673281,0.940807,202.216033,703.671875
UN,0.601595,0.951667,147.831672,886.009094
UN,0.538158,0.955781,123.761679,1042.865601
UN,0.488247,0.960156,108.13343,1182.806885
UN,0.961658,0.359453,865.229508,2.323333
UN,0.950974,0.52724,845.739986,12.018917
UN,0.938148,0.677891,814.701175,36.704994
UN,0.934972,0.817049,726.08212,106.477081
UN,0.911155,0.883964,561.201404,289.791046
UN,0.954375,0.794956,328.673091,569.042358
UN,0.960799,0.697823,237.074701,770.286499
UN,0.626211,0.972709,176.311116,943.934143
UN,0.557324,0.972031,137.785534,1112.935791
UN,0.504446,0.973524,125.978201,1258.460205
UN,0.816425,0.438524,304.142096,1.899652
UN,0.802371,0.56026,287.760631,9.239443
UN,0.77942,0.670156,261.583243,26.343061
UN,0.731806,0.732153,241.112137,61.675339
UN,0.681066,0.794358,194.910803,122.838882
UN,0.624804,0.837708,145.400461,207.630569
UN,0.560888,0.854826,120.476798,285.684875
UN,0.484743,0.837014,87.956296,380.017151
UN,0.448374,0.864141,77.160614,447.772125
UN,0.404992,0.858073,67.063865,524.617188
UN,0.849913,0.392665,498.420073,2.062736
UN,0.874955,0.570139,471.114584,10.711858
UN,0.850958,0.663828,452.291306,32.423492
UN,0.791423,0.843573,393.581999,83.810753
UN,0.786026,0.863238,311.382721,190.786957
UN,0.710901,0.894688,365.533325,199.974614
UN,0.611163,0.888915,159.535965,503.520325
UN,0.539734,0.890695,123.091451,638.689331
UN,0.491085,0.905625,98.180394,744.496521
UN,0.443039,0.90599,86.052872,857.977722
UN,0.896803,0.408776,691.580927,2.195465
UN,0.89971,0.552934,658.241134,11.211035
UN,0.888416,0.676302,636.182197,35.185795
UN,0.887363,0.799896,556.300537,103.991623
UN,0.83289,0.882118,429.255853,269.960358
UN,0.744839,0.914948,278.413418,511.700409
UN,0.663184,0.934853,192.790455,710.060181
UN,0.584847,0.933472,149.129576,884.266846
UN,0.519696,0.933203,123.914238,1044.152344
UN,0.47054,0.936372,102.923829,1199.370728
UN,0.914353,0.402378,872.458834,2.140482
UN,0.910044,0.54651,852.306247,11.266356
UN,0.915063,0.678776,814.131542,36.400436
UN,0.805937,0.905039,742.584297,101.311462
UN,0.8794,0.909071,544.772977,295.776855
UN,0.776228,0.938854,356.9093,548.018188
UN,0.682158,0.947917,227.405102,767.490173
UN,0.604104,0.950903,177.316797,939.929688
UN,0.539017,0.950547,145.25426,1105.541992
UN,0.489624,0.952865,126.660093,1251.231445
UN,0.837166,0.607049,264.944191,2.004246
UN,0.799354,0.684306,260.322674,9.472887
UN,0.852871,0.779792,209.804258,29.294453
UN,0.763965,0.795,196.745354,66.187737
UN,0.729444,0.827951,157.230179,133.006058
UN,0.625584,0.857292,128.417501,202.418213
UN,0.560313,0.878403,98.304158,281.745117
UN,0.531492,0.899167,85.586606,349.288635
UN,0.476232,0.909375,75.172233,411.124512
UN,0.423975,0.876389,64.562717,498.134125
UN,0.914756,0.515521,465.308045,2.220169
UN,0.91516,0.664167,432.340411,11.093018
UN,0.904898,0.762292,396.832563,35.288231
UN,0.861362,0.829028,363.243995,86.183983
UN,0.792027,0.867535,271.082784,218.846512
UN,0.705315,0.892083,192.780636,362.37619
UN,0.637113,0.918021,144.197162,494.74469
UN,0.565409,0.920833,109.11666,620.136169
UN,0.505995,0.90375,97.670696,746.678711
UN,0.455567,0.901736,86.230127,849.864807
UN,0.90698,0.484097,665.293585,2.27336
UN,0.919247,0.631389,634.179949,11.414202
UN,0.923054,0.741562,600.485778,35.754356
UN,0.907902,0.834861,516.166909,105.284363
UN,0.845062,0.90191,402.508533,274.173981
UN,0.733655,0.907083,260.326255,525.180847
UN,0.661952,0.927986,206.797478,689.955933
UN,0.586487,0.932778,144.352713,887.138184
UN,0.541788,0.945937,135.949253,1026.908203
UN,0.490409,0.945486,114.291223,1176.928711
UN,0.955848,0.479271,827.54203,2.391438
UN,0.935056,0.601667,810.791833,11.377554
UN,0.932695,0.724479,784.912542,37.361408
UN,0.915236,0.828333,700.461831,118.756714
UN,0.882814,0.923437,507.58366,313.291901
UN,0.771937,0.937083,336.628744,565.769348
UN,0.687306,0.955694,264.673434,745.52948
UN,0.617007,0.959167,178.332365,946.430603
UN,0.551504,0.955625,157.680668,1103.527954
UN,0.503592,0.954514,128.494491,1264.407837
UN,0.805631,0.669375,270.747872,1.942182
UN,0.711402,0.63875,285.337517,8.758454
UN,0.764771,0.779375,235.742445,27.745926
UN,0.714662,0.784306,226.975478,61.134068
UN,0.702304,0.838368,169.986024,126.200226
UN,0.625735,0.853958,133.539131,208.140411
UN,0.567802,0.910729,105.518029,277.625092
UN,0.495292,0.869167,87.992509,364.442078
UN,0.470201,0.9,77.335651,421.035217
UN,0.416087,0.853819,81.015041,499.487244
UN,0.898346,0.617708,458.073357,2.169365
UN,0.834869,0.639236,473.602198,10.44451
UN,0.884136,0.786042,399.531575,34.631821
UN,0.81023,0.806806,372.234784,445.018668
UN,0.762009,0.851389,272.973696,215.162201
UN,0.690723,0.89375,193.323326,373.463867
UN,0.599696,0.889097,150.016862,509.8172
UN,0.506488,0.831111,123.97509,666.255615
UN,0.491041,0.890938,102.805916,747.157043
UN,0.456873,0.916667,94.498951,835.229004
UN,0.895793,0.559549,659.521851,2.181244
UN,0.917185,0.667986,622.913749,11.909069
UN,0.896828,0.753542,599.416001,36.004375
UN,0.862535,0.837778,537.88127,102.455956
UN,0.803943,0.873785,399.242048,286.08728
UN,0.739532,0.916042,274.537311,509.905884
UN,0.638247,0.921424,167.733261,743.187683
UN,0.546533,0.911111,185.060726,874.141541
UN,0.497897,0.906563,132.752413,1055.804199
UN,0.457959,0.905556,137.567342,1188.806396
UN,0.933178,0.547396,851.836871,2.268084
UN,0.901664,0.626042,837.913631,11.165421
UN,0.878836,0.71125,819.288729,35.783009
UN,0.886027,0.830139,726.71872,105.661499
UN,0.846923,0.899479,556.42145,289.955444
UN,0.755375,0.926458,299.191908,598.604126
UN,0.643968,0.909271,265.510606,769.585083
UN,0.586142,0.930278,197.369362,932.586914
UN,0.538516,0.936562,172.631985,1065.520996
UN,0.491613,0.940972,147.869615,1233.783325
HR,0.549508,0.297951,327.044772,1.222985
HR,0.509507,0.357118,328.113813,5.670937
HR,0.531845,0.479036,303.152729,16.238094
HR,0.519655,0.543299,279.317307,45.07972
HR,0.515341,0.636632,198.615324,129.721649
HR,0.452565,0.649635,117.981682,262.34314
HR,0.381618,0.633707,96.904514,347.487946
HR,0.355369,0.672917,72.491967,424.036957
HR,0.32818,0.681484,64.535954,495.345062
HR,0.282082,0.655035,51.514464,575.525146
HR,0.572224,0.310929,500.454189,1.282619
HR,0.557274,0.393715,479.164027,6.012516
HR,0.585218,0.500182,458.150123,19.425623
HR,0.591425,0.620903,455.109135,45.844761
HR,0.557459,0.678125,342.885502,180.532654
HR,0.517327,0.721146,230.493497,358.594482
HR,0.458381,0.728741,126.359342,558.683594
HR,0.401393,0.728264,109.862502,662.153564
HR,0.365252,0.725547,86.830904,781.969604
HR,0.338053,0.738628,86.709082,868.8797
HR,0.567314,0.265434,662.928251,1.354892
HR,0.601986,0.407031,656.473887,7.1774
HR,0.649676,0.548307,619.675549,21.905952
HR,0.627225,0.638264,601.248564,53.570431
HR,0.609125,0.71276,507.519015,193.282196
HR,0.564138,0.757448,322.66365,472.804352
HR,0.49258,0.75645,189.742882,717.856323
HR,0.440587,0.76625,139.782762,889.111389
HR,0.409357,0.785234,144.69665,966.465942
HR,0.375879,0.784288,108.468607,1121.980713
HR,0.63489,0.308611,805.937932,1.522023
HR,0.625327,0.40151,799.71602,7.723398
HR,0.654058,0.559245,792.572565,22.386116
HR,0.66297,0.664514,750.52034,63.343914
HR,0.645673,0.742057,644.088642,200.854584
HR,0.591505,0.776667,447.4156,456.956177
HR,0.521848,0.774557,272.809553,689.914368
HR,0.490651,0.820486,202.79287,834.243164
HR,0.452518,0.846172,166.741261,974.687012
HR,0.41892,0.849566,141.082172,1099.184082
HR,0.418621,0.325694,330.567126,0.950721
HR,0.414236,0.371337,317.843877,4.682868
HR,0.393893,0.428255,321.257419,12.673223
HR,0.380225,0.495729,290.625295,33.187843
HR,0.341765,0.489323,231.736427,122.90625
HR,0.318841,0.560521,138.85743,262.651215
HR,0.268535,0.506832,96.498589,373.700378
HR,0.242966,0.524236,90.756925,439.287231
HR,0.221539,0.522734,75.023394,506.213196
HR,0.202377,0.509462,60.490983,602.795288
HR,0.452819,0.335625,521.344889,1.078156
HR,0.416491,0.400469,512.702741,4.814028
HR,0.40539,0.426172,494.651719,14.149101
HR,0.398521,0.516215,469.551196,36.513699
HR,0.397512,0.589583,383.694759,156.048096
